FID,nom,x_min,y_min,x_max,y_max,url,gid,the_geom
ima_gestion_images.imaortho2018ecw5km8cmcc46ir.44,1850_5175_8cm_CC46_IR,1850000,5175000,1855000,5180000,https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/ecw/5km_8cm_IR_CC46/1850_5175_8cm_CC46_IR.ecw,44,"MULTIPOLYGON (((4.928373430222532 45.75871903314657, 4.929930652765741 45.80369479844175, 4.994235224973749 45.80258663862405, 4.992626158979618 45.757611761869605, 4.928373430222532 45.75871903314657)))"
ima_gestion_images.imaortho2018ecw5km8cmcc46ir.45,1850_5180_8cm_CC46_IR,1850000,5180000,1855000,5185000,https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/ecw/5km_8cm_IR_CC46/1850_5180_8cm_CC46_IR.ecw,45,"MULTIPOLYGON (((4.929930652765741 45.80369479844175, 4.931490391861044 45.84867030821119, 4.995846891198133 45.84756125909566, 4.994235224973749 45.80258663862405, 4.929930652765741 45.80369479844175)))"
ima_gestion_images.imaortho2018ecw5km8cmcc46ir.46,1850_5185_8cm_CC46_IR,1850000,5185000,1855000,5190000,https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/ecw/5km_8cm_IR_CC46/1850_5185_8cm_CC46_IR.ecw,46,"MULTIPOLYGON (((4.931490391861044 45.84867030821119, 4.933052653612493 45.89364553488547, 4.997461163959449 45.89253559571358, 4.995846891198133 45.84756125909566, 4.931490391861044 45.84867030821119)))"
ima_gestion_images.imaortho2018ecw5km8cmcc46ir.47,1855_5155_8cm_CC46_IR,1855000,5155000,1860000,5160000,https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/ecw/5km_8cm_IR_CC46/1855_5155_8cm_CC46_IR.ecw,47,"MULTIPOLYGON (((4.986215771881628 45.57771024271819, 4.987814499616297 45.622685869308114, 5.051909622870386 45.6215450652351, 5.050259390589969 45.5765703531663, 4.986215771881628 45.57771024271819)))"
ima_gestion_images.imaortho2018ecw5km8cmcc46ir.48,1855_5160_8cm_CC46_IR,1855000,5160000,1860000,5165000,https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/ecw/5km_8cm_IR_CC46/1855_5160_8cm_CC46_IR.ecw,48,"MULTIPOLYGON (((4.987814499616297 45.622685869308114, 4.989415802556923 45.66766134969232, 5.053562513210886 45.666519630321716, 5.051909622870386 45.6215450652351, 4.987814499616297 45.622685869308114)))"
ima_gestion_images.imaortho2018ecw5km8cmcc46ir.49,1855_5165_8cm_CC46_IR,1855000,5165000,1860000,5170000,https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/ecw/5km_8cm_IR_CC46/1855_5165_8cm_CC46_IR.ecw,49,"MULTIPOLYGON (((4.989415802556923 45.66766134969232, 4.99101968692938 45.712636656382486, 5.055218068037299 45.71149402093648, 5.053562513210886 45.666519630321716, 4.989415802556923 45.66766134969232)))"
ima_gestion_images.imaortho2018ecw5km8cmcc46ir.50,1855_5170_8cm_CC46_IR,1855000,5170000,1860000,5175000,https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/ecw/5km_8cm_IR_CC46/1855_5170_8cm_CC46_IR.ecw,50,"MULTIPOLYGON (((4.99101968692938 45.712636656382486, 4.992626158979618 45.757611761869605, 5.056876293796178 45.75646820956907, 5.055218068037299 45.71149402093648, 4.99101968692938 45.712636656382486)))"
ima_gestion_images.imaortho2018ecw5km8cmcc46ir.51,1855_5175_8cm_CC46_IR,1855000,5175000,1860000,5180000,https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/ecw/5km_8cm_IR_CC46/1855_5175_8cm_CC46_IR.ecw,51,"MULTIPOLYGON (((4.992626158979618 45.757611761869605, 4.994235224973749 45.80258663862405, 5.058537196954892 45.801442168688475, 5.056876293796178 45.75646820956907, 4.992626158979618 45.757611761869605)))"
ima_gestion_images.imaortho2018ecw5km8cmcc46ir.52,1855_5180_8cm_CC46_IR,1855000,5180000,1860000,5185000,https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/ecw/5km_8cm_IR_CC46/1855_5180_8cm_CC46_IR.ecw,52,"MULTIPOLYGON (((4.994235224973749 45.80258663862405, 4.995846891198133 45.84756125909566, 5.060200784001688 45.846415870743094, 5.058537196954892 45.801442168688475, 4.994235224973749 45.80258663862405)))"
ima_gestion_images.imaortho2018ecw5km8cmcc46ir.53,1855_5185_8cm_CC46_IR,1855000,5185000,1860000,5190000,https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/ecw/5km_8cm_IR_CC46/1855_5185_8cm_CC46_IR.ecw,53,"MULTIPOLYGON (((4.995846891198133 45.84756125909566, 4.997461163959449 45.89253559571358, 5.061867061445799 45.89138928816078, 5.060200784001688 45.846415870743094, 4.995846891198133 45.84756125909566)))"
